id,authors,year,venue,arxiv,domain,task,subjectivity,expertise,judge_models,comparator,metric,metric_family,agreement,human_baseline,parity,verdict,verdict_label,reliability_score,biases,n,synthesis_role,finding
zhu2023judgelm,Zhu et al.,2023,ICLR'25,2310.17631,Methodology & Bias,pairwise-comparison,mixed,low,JudgeLM (7B-33B),human + GPT-4,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,position;knowledge;format (mitigated),,primary,"JudgeLM: fine-tuned judges reach >90% agreement with GPT-4, exceeding human-human agreement; swap/reference augmentation."
wang2023pandalm,Wang et al.,2023,ICLR'24,2306.05087,General NLG,pairwise-comparison,mixed,low,PandaLM (7B-70B),human-annotated test set,accuracy,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,"PandaLM judge LLM validated on a human-labeled test set; PandaLM-7B ~ GPT-3.5/4, 70B surpasses them."
li2023autoj,Li et al.,2023,ICLR'24,2310.05470,General NLG,pairwise-comparison,mixed,low,Auto-J (13B),human preference,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,"Auto-J generative judge with critiques across 58 real-world scenarios; pairwise + pointwise, human-aligned but imperfect."
wang2023shepherd,Wang et al.,2023,arXiv,2308.04592,Methodology & Bias,pointwise-scoring,mixed,low,Shepherd (7B),human + GPT-4,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,Shepherd critic (7B) produces feedback rated equivalent/preferred to ChatGPT; 53-87% win-rate vs alternatives.
ke2024critiquellm,Ke et al.,2024,ACL,10.18653/v1/2024.acl-long.704,Methodology & Bias,pointwise-scoring,mixed,low,CritiqueLLM,human,spearman,correlation,,,approx,3,Mixed / task-dependent,3,—,,primary,CritiqueLLM critique model correlates with humans on most tasks but degrades on reasoning/math critiques.
yuan2024selfrewarding,Yuan et al.,2024,ICML,2401.10020,Reward Modeling,pairwise-comparison,mixed,low,self-judging LLM,human preference,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,self-preference risk,,primary,Self-Rewarding LMs use LLM-as-judge to reward themselves; reward quality improves over iterations (but self-bias risk).
wu2024metarewarding,Wu et al.,2024,EMNLP'25,2407.19594,Reward Modeling,pairwise-comparison,mixed,low,LLM meta-judge,human preference,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,Meta-Rewarding: the model judges its own judgments; meta-judge step improves judging skill and alignment.
li2024arenahard,Li et al.,2024,NeurIPS,2406.11939,General NLG,pairwise-comparison,mixed,low,GPT-4 judge (Arena-Hard),Chatbot Arena humans,pct_agreement,raw-agreement,0.89,,yes,2,Promising (conditional),4,length (controlled),,primary,Arena-Hard/BenchBuilder: automatic LLM-judge benchmark reaches 89.1% agreement (up to 98.6% confidence) with Chatbot Arena.
chiang2024arena,Chiang et al.,2024,ICML,2403.04132,General NLG,pairwise-comparison,mixed,low,crowd + LLM judge,experts,pct_agreement,raw-agreement,,,yes,1,Validated,5,—,,primary,Chatbot Arena: open human-preference platform; crowd votes agree with experts and ground LLM-judge validation (>2.5M votes).
meng2024chalet,Meng et al.,2024,ACM TOCHI,2405.05758,Qualitative Coding,classification-annotation,subjective,medium,LLM (CHALET),researchers,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,CHALET: human-LLM partnership for theory-driven qualitative analysis via iterative coding and disagreement analysis (HCI).
wu2023llmworkers,Wu et al.,2023,arXiv,2307.10168,Social-Science Annotation,classification-annotation,mixed,low,LLMs,crowd workers,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,LLMs as workers in human-computation pipelines: replicate multi-step crowdsourcing workflows with mixed fidelity (CSCW/HCOMP).
zhu2023reproduce,Zhu et al.,2023,arXiv,2304.10145,Social-Science Annotation,classification-annotation,subjective,low,ChatGPT,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,"Can ChatGPT reproduce human labels for social-computing tasks? Good on some, poor on subjective/cultural ones (CSCW)."
desmond2024evalullm,Desmond et al.,2024,IUI,10.1145/3640544.3645216,Methodology & Bias,pointwise-scoring,subjective,low,LLM (EvaluLLM),practitioners,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,EvaluLLM: interactive HCI system for LLM-assisted evaluation of generative outputs against user-defined criteria (IUI).
kim2024meganno,Kim et al.,2024,EACL (demo),10.18653/v1/2024.eacl-demo.18,Information Extraction (NER/NLI),classification-annotation,mixed,low,LLM,human,f1,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,MEGAnno+: human-LLM collaborative annotation with LLM pre-labels and required human verification.
duan2024uimockup,Duan et al.,2024,CHI,2403.13139,Multimodal (Vision-Language),pointwise-scoring,subjective,medium,multimodal LLM,designers,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,LLM feedback on UI mockups partially matches expert designer feedback; useful first-pass but misses design nuance (HCI).
lin2023llmeval,Lin & Chen,2023,NLP4ConvAI@ACL,10.18653/v1/2023.nlp4convai-1.5,Dialogue,pointwise-scoring,subjective,low,LLM (LLM-Eval),human,spearman,correlation,,,approx,2,Promising (conditional),4,—,,primary,LLM-Eval: single-prompt multi-dimensional dialogue evaluation correlating with human ratings across benchmarks.
chan2023chateval,Chan et al.,2023,ICLR'24,2308.07201,General NLG,pairwise-comparison,mixed,low,multi-agent LLMs,human,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,ChatEval: multi-agent debate among LLM evaluators improves agreement with human judgments over a single judge.
hashemi2024llmrubric,Hashemi et al.,2024,ACL'25,2501.00274,General NLG,pointwise-scoring,mixed,low,LLM + calibration,human,pearson,correlation,,,approx,2,Promising (conditional),4,—,,primary,LLM-Rubric: multidimensional rubric scoring with a small calibration network markedly improves human correlation.
ostyakova2023crowdexperts,Ostyakova et al.,2023,SIGDIAL,10.18653/v1/2023.sigdial-1.23,Social-Science Annotation,classification-annotation,mixed,medium,ChatGPT,crowd + experts,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,ChatGPT vs crowdsourcing vs experts annotating open-domain dialogue: ChatGPT between crowd and expert quality.
xie2023nextchapter,Xie et al.,2023,INLG,10.18653/v1/2023.inlg-main.23,Creative Writing,pointwise-scoring,subjective,medium,LLM,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,The Next Chapter: human + automatic evaluation of LLM storytelling; LLM evaluators only partially track human judgments.
ni2024afacta,Ni et al.,2024,ACL,10.18653/v1/2024.acl-long.104,Fact-Checking,classification-annotation,mixed,medium,GPT-4,human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,AFaCTA: LLM-assisted annotation of factual-claim detection with calibrated confidence; high agreement with experts.
lee2023rlaif,Lee et al.,2023,ICML'24,2309.00267,Reward Modeling,pairwise-comparison,mixed,low,LLM labeler,human preference,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,RLAIF vs RLHF: AI (LLM) preference labels yield comparable downstream gains to human labels on summarization/dialogue.
jung2024trustescalate,Jung et al.,2024,EMNLP'24,2407.18370,Methodology & Bias,pairwise-comparison,mixed,low,LLM judge (selective),human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,Trust-or-Escalate: confidence-based selective LLM judging with provable human-agreement guarantees; escalate hard cases.
li2025prefleakage,Li et al.,2025,arXiv,2502.01534,Methodology & Bias,pairwise-comparison,mixed,low,LLM judges,human,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,preference leakage (generator-judge contamination),,primary,"Preference Leakage: when judge and generated-data model are related, judges are biased toward those outputs (contamination)."
murugadoss2025evaltheeval,Murugadoss et al.,2025,AAAI,10.1609/aaai.v39i18.34157,Methodology & Bias,pointwise-scoring,mixed,low,LLM judges,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,instruction non-adherence,,primary,Evaluating the Evaluator: LLM judges often fail to adhere to the task evaluation instructions/rubric they are given.
fan2024sedareval,Fan et al.,2024,EMNLP-F,10.18653/v1/2024.findings-emnlp.984,Methodology & Bias,pointwise-scoring,mixed,low,LLM (SedarEval),human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,SedarEval: self-adaptive scoring rubrics improve LLM-judge agreement with human grading over generic prompts.
horych2025promisespitfalls,Horych et al.,2025,NAACL-F,10.18653/v1/2025.findings-naacl.75,Social-Science Annotation,classification-annotation,mixed,low,LLMs,human,f1,raw-agreement,,,no,3,Mixed / task-dependent,3,label artifacts,,primary,Promises and pitfalls of LLM dataset annotations: convenient but can inject systematic artifacts vs human labels.
gao2025reranking,Gao et al.,2025,NAACL-F,10.18653/v1/2025.findings-naacl.260,Methodology & Bias,ranking,mixed,low,LLM judges,human preference,kendall,correlation,,,no,3,Mixed / task-dependent,3,—,,primary,Re-evaluating automatic LLM system ranking: judge-induced rankings only partially align with human-preference rankings.
yamauchi2025designchoices,Yamauchi et al.,2025,arXiv,2506.13639,Methodology & Bias,pointwise-scoring,mixed,low,LLM judges,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,design-choice sensitivity,,primary,"Empirical study: LLM-as-judge design choices (prompt, scale, format) materially change human agreement."
huang2025empiricaljudge,Huang et al.,2025,ACL-F,10.18653/v1/2025.findings-acl.306,Methodology & Bias,pointwise-scoring,mixed,low,LLM judges,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,"Empirical study of LLM-as-a-judge for LLM evaluation: fine-tuning and aggregation help, but biases persist."
